,Country Name,Country Code,Series Name,Mean (2000-2019)
0,Argentina,ARG,GDP (current US$),376578614922.7285
1,Australia,AUS,GDP (current US$),1031425613817.4523
2,Brazil,BRA,GDP (current US$),1587751197219.6062
3,China,CHN,GDP (current US$),6756190140718.669
4,France,FRA,GDP (current US$),2377044257671.1655
5,Germany,DEU,GDP (current US$),3184267294628.6523
6,India,IND,GDP (current US$),1534549380644.8755
7,Indonesia,IDN,GDP (current US$),639933071190.624
8,Italy,ITA,GDP (current US$),1889005205265.1636
9,Japan,JPN,GDP (current US$),4785214774503.148
10,"Korea, Rep.",KOR,GDP (current US$),1145896701378.1409
11,Mexico,MEX,GDP (current US$),1006817698868.5914
12,Netherlands,NLD,GDP (current US$),756432612737.5905
13,Russian Federation,RUS,GDP (current US$),1315776004393.2224
14,Saudi Arabia,SAU,GDP (current US$),514777886393.78217
15,Spain,ESP,GDP (current US$),1221356760798.935
16,Switzerland,CHE,GDP (current US$),557864277813.935
17,Turkiye,TUR,GDP (current US$),665983657313.8021
18,United Kingdom,GBR,GDP (current US$),2522592727362.746
19,United States,USA,GDP (current US$),14987194744789.475
20,Afghanistan,AFG,GDP (current US$),12964255257.590603
21,Albania,ALB,GDP (current US$),10508587929.447989
22,Algeria,DZA,GDP (current US$),142631799874.4159
23,American Samoa,ASM,GDP (current US$),557789473.6842105
24,Andorra,AND,GDP (current US$),3007088457.553912
25,Angola,AGO,GDP (current US$),68948913341.82053
26,Antigua and Barbuda,ATG,GDP (current US$),1164973294.346978
27,Armenia,ARM,GDP (current US$),8474635353.216027
28,Aruba,ABW,GDP (current US$),2523257865.333726
29,Austria,AUT,GDP (current US$),360783276536.4528
30,Azerbaijan,AZE,GDP (current US$),39350748084.95763
31,"Bahamas, The",BHS,GDP (current US$),10134978947.368422
32,Bahrain,BHR,GDP (current US$),24476429395.296745
33,Bangladesh,BGD,GDP (current US$),143253170853.0896
34,Barbados,BRB,GDP (current US$),4201784024.102288
35,Belarus,BLR,GDP (current US$),47473438752.389854
36,Belgium,BEL,GDP (current US$),436270098422.9946
37,Belize,BLZ,GDP (current US$),1374358036.1823003
38,Benin,BEN,GDP (current US$),9408864434.79453
39,Bermuda,BMU,GDP (current US$),5872365842.105263
40,Bhutan,BTN,GDP (current US$),1446032322.108299
41,Bolivia,BOL,GDP (current US$),21730651337.677425
42,Bosnia and Herzegovina,BIH,GDP (current US$),14912927218.508154
43,Botswana,BWA,GDP (current US$),11871101950.146969
44,British Virgin Islands,VGB,GDP (current US$),
45,Brunei Darussalam,BRN,GDP (current US$),12032483817.781408
46,Bulgaria,BGR,GDP (current US$),44925783109.74316
47,Burkina Faso,BFA,GDP (current US$),9790283863.681242
48,Burundi,BDI,GDP (current US$),1848474355.4099233
49,Cabo Verde,CPV,GDP (current US$),1442871461.7125225
50,Cambodia,KHM,GDP (current US$),12589613685.25725
51,Cameroon,CMR,GDP (current US$),26704584147.888157
52,Canada,CAN,GDP (current US$),1403378215164.9568
53,Cayman Islands,CYM,GDP (current US$),
54,Central African Republic,CAF,GDP (current US$),1720191159.6874309
55,Chad,TCD,GDP (current US$),8804218475.958603
56,Channel Islands,CHI,GDP (current US$),
57,Chile,CHL,GDP (current US$),192630374202.58862
58,Colombia,COL,GDP (current US$),242044477982.2836
59,Comoros,COM,GDP (current US$),854123596.8410958
60,"Congo, Dem. Rep.",COD,GDP (current US$),24593144164.885956
61,"Congo, Rep.",COG,GDP (current US$),10424538776.289751
62,Costa Rica,CRI,GDP (current US$),37732173339.4269
63,Cote d'Ivoire,CIV,GDP (current US$),35279667934.413025
64,Croatia,HRV,GDP (current US$),51379578528.58775
65,Cuba,CUB,GDP (current US$),63450047708.96686
66,Curacao,CUW,GDP (current US$),
67,Cyprus,CYP,GDP (current US$),21043947645.99501
68,Czech Republic,CZE,GDP (current US$),179097899655.2669
69,Denmark,DNK,GDP (current US$),291132645529.189
70,Djibouti,DJI,GDP (current US$),1475053407.6623352
71,Dominica,DMA,GDP (current US$),445843664.7173489
72,Dominican Republic,DOM,GDP (current US$),52035118561.075966
73,Ecuador,ECU,GDP (current US$),69156800631.57895
74,"Egypt, Arab Rep.",EGY,GDP (current US$),194847481214.05142
75,El Salvador,SLV,GDP (current US$),18587352284.210526
76,Equatorial Guinea,GNQ,GDP (current US$),12616754999.260592
77,Eritrea,ERI,GDP (current US$),
78,Estonia,EST,GDP (current US$),19993206781.67885
79,Eswatini,SWZ,GDP (current US$),3568140966.5288177
80,Ethiopia,ETH,GDP (current US$),39094526655.95456
81,Faroe Islands,FRO,GDP (current US$),2261616657.906153
82,Fiji,FJI,GDP (current US$),3613088327.0230036
83,Finland,FIN,GDP (current US$),227990736201.16638
84,French Polynesia,PYF,GDP (current US$),
85,Gabon,GAB,GDP (current US$),12752616512.71
86,"Gambia, The",GMB,GDP (current US$),1222400387.859615
87,Georgia,GEO,GDP (current US$),11603435841.783688
88,Ghana,GHA,GDP (current US$),35023510789.93726
89,Gibraltar,GIB,GDP (current US$),
90,Greece,GRC,GDP (current US$),233043462630.64664
91,Greenland,GRL,GDP (current US$),2269707433.56055
92,Grenada,GRD,GDP (current US$),797298783.6257317
93,Guam,GUM,GDP (current US$),4711052631.578947
94,Guatemala,GTM,GDP (current US$),43654817050.76816
95,Guinea,GIN,GDP (current US$),6768349827.500936
96,Guinea-Bissau,GNB,GDP (current US$),871766660.8778472
97,Guyana,GUY,GDP (current US$),3017815035.6696124
98,Haiti,HTI,GDP (current US$),10891848129.0845
99,Honduras,HND,GDP (current US$),15357302601.786955
100,"Hong Kong SAR, China",HKG,GDP (current US$),237899951975.26804
101,Hungary,HUN,GDP (current US$),121934326443.9605
102,Iceland,ISL,GDP (current US$),16508070455.33199
103,"Iran, Islamic Rep.",IRN,GDP (current US$),359414091320.7213
104,Iraq,IRQ,GDP (current US$),132926424182.92184
105,Ireland,IRL,GDP (current US$),242492973157.17584
106,Isle of Man,IMN,GDP (current US$),5212658416.12494
107,Israel,ISR,GDP (current US$),231096285451.78232
108,Jamaica,JAM,GDP (current US$),12442091455.160284
109,Jordan,JOR,GDP (current US$),25792598019.678253
110,Kazakhstan,KAZ,GDP (current US$),128765891798.02437
111,Kenya,KEN,GDP (current US$),47215501998.85809
112,Kiribati,KIR,GDP (current US$),141708736.55912003
113,"Korea, Dem. People's Rep.",PRK,GDP (current US$),
114,Kosovo,XKX,GDP (current US$),
115,Kuwait,KWT,GDP (current US$),110274880645.63354
116,Kyrgyz Republic,KGZ,GDP (current US$),5021048254.28404
117,Lao PDR,LAO,GDP (current US$),8603878650.456823
118,Latvia,LVA,GDP (current US$),24390431871.25064
119,Lebanon,LBN,GDP (current US$),35328202150.911865
120,Lesotho,LSO,GDP (current US$),1892756418.3477204
121,Liberia,LBR,GDP (current US$),2097684952.631579
122,Libya,LBY,GDP (current US$),55967523785.175705
123,Liechtenstein,LIE,GDP (current US$),4867756972.290014
124,Lithuania,LTU,GDP (current US$),36640630398.82929
125,Luxembourg,LUX,GDP (current US$),51317866573.59213
126,"Macao SAR, China",MAC,GDP (current US$),30532397332.801758
127,Madagascar,MDG,GDP (current US$),9480254948.11373
128,Malawi,MWI,GDP (current US$),5683914138.231309
129,Malaysia,MYS,GDP (current US$),233851742710.43698
130,Maldives,MDV,GDP (current US$),2725915421.0110817
